Model,RMSE,R2
Baseline (Tabular),81052.14118636958,0.780858400240367
Fusion 1 (Concat),580194.2962487881,-10.229043216575265
Fusion 2 (Weighted),580194.2962487881,-10.229043216575265
Fusion 3 (PCA),170646.91797330268,0.028611984367302945
